subj_idx,response,dd,rdd,rdd_Zws,rdd_Zbs,dd_Zws,rt,group
1003,1,6,6,0.566055176358638,0.591879141807573,0.0866514355778658,0.678643239999474,0
1003,1,6,6,0.566055176358638,0.591879141807573,0.0866514355778658,0.838199630999952,0
1003,1,5,5,0.380767066257611,0.408810721239958,-0.438508780045563,1.12587935200008,0
1003,1,5,5,0.380767066257611,0.408810721239958,-0.438508780045563,0.864299644000312,0
1003,0,4,-4,-1.28682592465163,-1.23880506386858,-0.963668995668992,0.956668971999534,0
1003,1,5,5,0.380767066257611,0.408810721239958,-0.438508780045563,0.779050062999886,0
1003,0,5,-5,-1.47211403475266,-1.4218734844362,-0.438508780045563,1.00035150400072,0
1003,1,6,6,0.566055176358638,0.591879141807573,0.0866514355778658,0.822435265999957,0
1003,1,6,6,0.566055176358638,0.591879141807573,0.0866514355778658,0.98490522999964,0
1003,1,5,5,0.380767066257611,0.408810721239958,-0.438508780045563,0.799986639999588,0
1003,0,5,-5,-1.47211403475266,-1.4218734844362,-0.438508780045563,0.688991064999755,0
1003,1,6,6,0.566055176358638,0.591879141807573,0.0866514355778658,0.799979428999904,0
1003,0,6,-6,-1.65740214485369,-1.60494190500381,0.0866514355778658,0.785442471999886,0
1003,0,7,-7,-1.84269025495472,-1.78801032557143,0.611811651201295,0.867221985000469,0
1003,1,8,8,0.936631396560692,0.958015982942804,1.13697186682472,0.769549661000383,0
1003,1,8,8,0.936631396560692,0.958015982942804,1.13697186682472,1.03792205399986,0
1003,0,7,-7,-1.84269025495472,-1.78801032557143,0.611811651201295,0.926630954000757,0
1003,1,8,8,0.936631396560692,0.958015982942804,1.13697186682472,0.674333130999912,0
1003,1,8,8,0.936631396560692,0.958015982942804,1.13697186682472,0.744513550999727,0
1003,1,7,7,0.751343286459665,0.774947562375188,0.611811651201295,0.909501486999943,0
1003,0,7,-7,-1.84269025495472,-1.78801032557143,0.611811651201295,1.23585346600066,0
1003,1,8,8,0.936631396560692,0.958015982942804,1.13697186682472,0.828016541000579,0
1003,0,8,-8,-2.02797836505574,-1.97107874613904,1.13697186682472,0.896466649999638,0
1003,1,9,9,1.12191950666172,1.14108440351042,1.66213208244815,0.820106964999468,0
1003,1,9,9,1.12191950666172,1.14108440351042,1.66213208244815,0.932063217999712,0
1003,1,9,9,1.12191950666172,1.14108440351042,1.66213208244815,0.851180341000145,0
1003,1,9,9,1.12191950666172,1.14108440351042,1.66213208244815,1.25366619000033,0
1003,1,8,8,0.936631396560692,0.958015982942804,1.13697186682472,0.829774191999604,0
1003,0,8,-8,-2.02797836505574,-1.97107874613904,1.13697186682472,0.659823238000172,0
1003,1,9,9,1.12191950666172,1.14108440351042,1.66213208244815,0.892788392000512,0
1003,1,9,9,1.12191950666172,1.14108440351042,1.66213208244815,0.828444820000186,0
1003,0,8,-8,-2.02797836505574,-1.97107874613904,1.13697186682472,1.09323617600057,0
1003,1,9,9,1.12191950666172,1.14108440351042,1.66213208244815,0.940170779999789,0
1003,1,9,9,1.12191950666172,1.14108440351042,1.66213208244815,1.1643419890006,0
1003,1,8,8,0.936631396560692,0.958015982942804,1.13697186682472,1.15374573300051,0
1003,1,8,8,0.936631396560692,0.958015982942804,1.13697186682472,0.900157985999613,0
1003,1,7,7,0.751343286459665,0.774947562375188,0.611811651201295,0.695931094999651,0
1003,1,7,7,0.751343286459665,0.774947562375188,0.611811651201295,0.929345767000086,0
1003,0,6,-6,-1.65740214485369,-1.60494190500381,0.0866514355778658,0.953018559999691,0
1003,0,7,-7,-1.84269025495472,-1.78801032557143,0.611811651201295,0.866798791999827,0
1003,1,8,8,0.936631396560692,0.958015982942804,1.13697186682472,0.848446551000052,0
1003,1,8,8,0.936631396560692,0.958015982942804,1.13697186682472,1.29511553599968,0
1003,1,7,7,0.751343286459665,0.774947562375188,0.611811651201295,0.819823536000513,0
1003,1,7,7,0.751343286459665,0.774947562375188,0.611811651201295,0.759948197000085,0
1003,1,6,6,0.566055176358638,0.591879141807573,0.0866514355778658,0.899170132000108,0
1003,1,6,6,0.566055176358638,0.591879141807573,0.0866514355778658,0.667430528000295,0
1003,1,5,5,0.380767066257611,0.408810721239958,-0.438508780045563,0.81439842600048,0
1003,0,5,-5,-1.47211403475266,-1.4218734844362,-0.438508780045563,1.39593486400008,0
1003,1,6,6,0.566055176358638,0.591879141807573,0.0866514355778658,0.79602602399973,0
1003,1,6,6,0.566055176358638,0.591879141807573,0.0866514355778658,0.651874172000134,0
1003,1,6,6,0.566055176358638,0.591879141807573,0.0866514355778658,1.39234603200021,0
1003,1,6,6,0.566055176358638,0.591879141807573,0.0866514355778658,0.831758809999883,0
1003,0,5,-5,-1.47211403475266,-1.4218734844362,-0.438508780045563,0.974488875000134,0
1003,1,6,6,0.566055176358638,0.591879141807573,0.0866514355778658,1.15092157100025,0
1003,0,6,-6,-1.65740214485369,-1.60494190500381,0.0866514355778658,0.871004840999376,0
1003,1,7,7,0.751343286459665,0.774947562375188,0.611811651201295,0.636118983000415,0
1003,1,7,7,0.751343286459665,0.774947562375188,0.611811651201295,0.881410719000087,0
1003,1,6,6,0.566055176358638,0.591879141807573,0.0866514355778658,0.646105730999807,0
1003,0,6,-6,-1.65740214485369,-1.60494190500381,0.0866514355778658,0.879742550000628,0
1003,1,7,7,0.751343286459665,0.774947562375188,0.611811651201295,0.819215954999891,0
1003,0,7,-7,-1.84269025495472,-1.78801032557143,0.611811651201295,1.06067452100069,0
1003,1,8,8,0.936631396560692,0.958015982942804,1.13697186682472,0.790013632000409,0
