,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 3,Model 3,Model 3,Model 3,Model 3,Model 3,Model 3,Model 3,Model 4,Model 4,Model 4,Model 4,Model 4,Model 4,Model 4,Model 4,Combined,Combined,Combined,Combined,Combined,Combined,Combined,Combined
,mean,std,2.5q,25q,50q,75q,97.5q,mc err,mean,std,2.5q,25q,50q,75q,97.5q,mc err,mean,std,2.5q,25q,50q,75q,97.5q,mc err,mean,std,2.5q,25q,50q,75q,97.5q,mc err,mean,std,2.5q,25q,50q,75q,97.5q,mc err
Non-decision time (t),0.4984511582688423,0.0028968545815893777,0.49267334464552137,0.49653836524245426,0.49846104731942226,0.5004486586839565,0.5041138215700256,2.7408025886318956e-05,0.49844879364601835,0.002862956134223292,0.49282063819601923,0.49656344547360964,0.49843593958785715,0.5003937133072096,0.5040350104590035,2.8107630245344076e-05,0.49844866403621824,0.0028730857940017875,0.4927412405871047,0.49653424500124355,0.49846820198439795,0.5003919074423628,0.5039654855704683,3.190513687820314e-05,0.49843206998564904,0.0028958761156887966,0.4926653984983334,0.4965117272346836,0.4984450620625478,0.5004000360824485,0.5041368671630051,3.004287150581741e-05,0.498445171484182,0.002882240342134237,0.49272496287328,0.4965371910542447,0.4984520607405975,0.5004083891841271,0.5040536716630194,1.573765231123295e-05
v Control,0.5612369697918181,0.015938948972661435,0.5299449044361385,0.5505370096261256,0.5610093606348867,0.5720778984013607,0.592297049326295,0.00012103754212304429,0.5614385277666737,0.01591090785713024,0.5300496805363446,0.5507189519666753,0.5615320464926007,0.5723987956004709,0.5925187957913189,0.0001239957820932479,0.5615355054022637,0.01576519190969109,0.5308309498536057,0.5508215917912104,0.5614988296991876,0.5720599052746592,0.5930389001813368,0.00012456158546615123,0.5614749175912908,0.015898216942393316,0.5300470668070012,0.550966637456459,0.5614656142767549,0.5722006309331799,0.592534892079208,0.00011047932962349797,0.5614214801380114,0.01587885270650702,0.5302141107362579,0.5507507088508788,0.5613683409494333,0.5721764624678426,0.5925622867784804,6.20395378535637e-05
v Pre-HD,0.613849550027628,0.020633779556742924,0.5737485488563144,0.5997630008981879,0.6138653559937448,0.6277219726061257,0.6547949664921321,0.00015080518959190555,0.6137268286424509,0.020564544091004954,0.5735372466079246,0.5999041391712907,0.6138109674696882,0.6275371859990787,0.6542484404336879,0.00017191560394355507,0.6140089011550174,0.02085115856890529,0.5734380932979787,0.5999473351735194,0.6139744692825712,0.627909950459095,0.6549930141232085,0.00015552885176368185,0.613965179147454,0.020458599937110602,0.5739674735934277,0.6001268294537465,0.6139615654103493,0.6278734945640411,0.6540740341158773,0.00016431628462365206,0.6138876147431375,0.020627811840103084,0.5736263709154006,0.5999519284621487,0.6138949990088435,0.627763593638493,0.6544861248582023,8.988171744139196e-05
v Early-HD,0.5953858331417499,0.030112559169266556,0.5357720217489637,0.5752339593666947,0.5956766635621572,0.6156310017174018,0.6541778436484189,0.0002449294528936286,0.595024642513935,0.02991351883476633,0.5373956308904573,0.5743114879364345,0.594847083019309,0.615661919812584,0.6535214759500622,0.00020899752348537039,0.5951900444541929,0.030104389179493724,0.5359628060017773,0.5749433874647937,0.5954262707309875,0.6153005277161955,0.6550379111943981,0.00025237247526693703,0.5947613451068525,0.03017056380591633,0.5365694844116435,0.5742116523091253,0.594776941157736,0.6152930584275489,0.6538630809881438,0.0002055907015368477,0.5950904663041826,0.030076285541720305,0.536373455020911,0.5746779811503288,0.5951848232364237,0.615458626068558,0.6541880607774668,0.0001128181077756242
v Control*stimulus,0.24290726933659956,0.015637756350239958,0.21233305064191396,0.23234066776162768,0.2428945401132289,0.2534067983807521,0.27394834037145854,0.00019232701383072306,0.24338220972739386,0.015586885138636807,0.21289652904100853,0.23296448688495425,0.24336029049593877,0.2537994566717906,0.27394791020913783,0.00018246605811515784,0.24349962084943644,0.015391847330829168,0.21340789037501062,0.2331518210252905,0.24333838352936932,0.2538229400372952,0.2738748111402796,0.00017044487957879834,0.2433111233986436,0.015519329570711466,0.21294498058834746,0.23274733800398534,0.24344532572588973,0.2538678692482955,0.273136908698911,0.00017584957789021333,0.24327505582801837,0.015535825096807348,0.21287335907170055,0.2327899369725705,0.2432767905301085,0.2537207418433993,0.2737055294788491,8.943718610023233e-05
v Pre-HD*stimulus,-0.014674699221649932,0.02572465750568829,-0.0654110302496092,-0.032113700469088,-0.014760690086614472,0.002640080847865593,0.035353053161252694,0.0003139807979899156,-0.015193697813943335,0.025830201106636218,-0.0653673319728495,-0.0326243693815107,-0.015260880840621757,0.0021800576867059343,0.03540941580624743,0.0002962020053128207,-0.015477968766649497,0.025566181855155395,-0.06632008700698874,-0.03275307071421924,-0.015436612522978121,0.0018726886631791478,0.0337026505630222,0.0002760762145174909,-0.01522276070564168,0.02557071217121332,-0.06521435339554754,-0.03238021982186724,-0.015458254106705226,0.0018070356230985643,0.03533589113871448,0.0002694250102332904,-0.01514228162697111,0.025674835482705858,-0.06555005619389534,-0.03249879371640217,-0.015216916921419563,0.0021313685470672056,0.03492074851803733,0.00015409108941362532
v Early-HD*stimulus,0.0007961729108719394,0.03396116065895352,-0.0658230675253154,-0.02182015851510514,0.0006639766771826955,0.023643956482414828,0.06714793526552042,0.00033237361950091504,-0.0003957250196508578,0.03362881172450368,-0.06846051113857964,-0.02297972914689792,-6.045628711275064e-05,0.0224399900259309,0.06519024236581951,0.00031216510223331767,0.0003666240045085837,0.033420892644878894,-0.06526968486500893,-0.022125308923080754,0.00038981209527040594,0.02253715962811935,0.06535011037165343,0.0003151979753789568,2.793612663944467e-05,0.03320213756747168,-0.06536158847184668,-0.022283053103966027,-8.676290619511612e-05,0.02219925825240124,0.06556243890292698,0.000322924364977495,0.00019875200559227747,0.03355727599671692,-0.06611026025243437,-0.022308756239854795,0.0002029370570861902,0.02271888062344493,0.06584719508349798,0.00016081853191201125
a Control,1.9904829224051435,0.013700021700453587,1.9635798951892685,1.9812863237906708,1.9904194285235808,1.9997207469406235,2.0177617358328197,0.00012104675268713413,1.9906346462016402,0.013754815214028574,1.963675580775867,1.9814092616881578,1.9905398218569954,1.9998033729929463,2.018110718175527,0.00012966008242532956,1.990695984578726,0.013678801185556673,1.963775044325017,1.9814896195367457,1.990673909438187,1.9998142440899696,2.0178406053778395,0.00013767499410725773,1.9904272356259205,0.013524073813678003,1.9641825292309054,1.9812491326202577,1.9902332898511985,1.9996178999600553,2.0168840998536117,0.00011478208914223057,1.9905601972028575,0.013665132103248556,1.9637247053347904,1.9813582949920612,1.9904494564622799,1.999750462723338,2.0176649712578447,6.418581451457537e-05
a Pre-HD,1.887108515364409,0.015603346103981857,1.8566826724319203,1.8765905338554327,1.887013935981252,1.8975040174073698,1.9179899716591482,0.0001242678689332072,1.8870998640766181,0.01567500251020548,1.856633794104662,1.8765396698147345,1.8868851398774356,1.8976474300671664,1.91819854038663,0.00014226895447984033,1.8870822058843972,0.015458555658928475,1.8570410267283897,1.8766781986250707,1.8869741054475468,1.8973319969335807,1.9180154449993236,0.00014286863267027485,1.8872746075436746,0.01550766997674776,1.8568526591041818,1.8768567718787794,1.8872054981963151,1.8975746687696338,1.9179906104030542,0.00014246610739303349,1.887141298217275,0.015561562737135942,1.856770773463269,1.8766625358752287,1.8870220566496094,1.8975132780861395,1.9180453387657295,7.873336454942051e-05
