,parameter,rhat
0,t,0.999979522187984
1,v_C(group)[0],1.0000151559907702
2,v_C(group)[1],0.999997198603077
3,v_C(group)[2],1.0000220055074247
4,v_dd_Zws,1.0001450187234828
5,v_dd_Zws:C(group)[T.1],1.0000812820290998
6,v_dd_Zws:C(group)[T.2],1.0001157183494658
7,a_C(group)[0],1.0000268243947825
8,a_C(group)[1],0.9999943780654085
9,a_C(group)[2],0.9999998617742833
