              mean        std     2.5q       25q       50q       75q     97.5q       mc err
a          1.80089  0.0088572  1.78347   1.79496   1.80095   1.80685   1.81821  9.19309e-05
t          0.50722  0.0030851  0.50119  0.505142  0.507218   0.50934  0.513144  3.19636e-05
v_dd_Zws  0.214276  0.0115665  0.19166  0.206433  0.214328  0.222023  0.236871  9.61546e-05
DIC: 29137.742263
deviance: 29134.703035
pD: 3.039228
